%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.059026e+002	132366
1.205358e+002	131969
1.206209e+002	130291
1.261721e+002	129538
1.271779e+002	129351
1.272907e+002	129213
1.302830e+002	128975
1.321036e+002	128604
1.325437e+002	128569
1.332492e+002	128311
1.791946e+002	128067
1.962907e+002	128049
2.028510e+002	127998
2.120953e+002	127995
2.133982e+002	127854
2.134980e+002	127326
2.158568e+002	127203
2.159203e+002	126823
2.731798e+002	126819
2.777357e+002	126613
2.896128e+002	126313
2.915557e+002	126285
3.083699e+002	125970
3.140543e+002	125953
3.486729e+002	125280
3.496107e+002	125203
3.504961e+002	125056
3.513309e+002	125039
3.531110e+002	124997
3.544640e+002	123908
3.668023e+002	123672
3.668233e+002	123129
3.716754e+002	122937
3.725940e+002	122928
4.137151e+002	122922
4.139689e+002	122845
4.173375e+002	122689
4.362566e+002	122549
9.160421e+002	121809
9.176678e+002	121750



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
4.210317e+000	147809
1.088992e+001	143133
1.720089e+001	142947
1.726404e+001	142388
2.594059e+001	142129
4.451937e+001	142044
4.503585e+001	139676
5.863843e+001	134162
1.034537e+002	133948
1.038533e+002	133198
1.038786e+002	132748
1.286418e+002	132631
1.286918e+002	132545
1.310851e+002	132373
1.311093e+002	132136
1.312239e+002	131964
1.312580e+002	130792
1.312764e+002	130791
1.321487e+002	130147
1.323740e+002	129201
1.323949e+002	128650
1.495126e+002	127920
1.502755e+002	127245
1.973244e+002	126754
1.973713e+002	126005
1.975396e+002	125478
1.993417e+002	125145
1.994094e+002	125135
1.995330e+002	124694
1.995533e+002	124541
1.996045e+002	124524
1.996485e+002	124381
2.058380e+002	124255
2.086813e+002	124233
2.094866e+002	124179
2.096244e+002	124121
2.914460e+002	123604
2.915572e+002	123562
2.916638e+002	123515
2.958208e+002	123231
2.975082e+002	123204
2.977692e+002	123176
2.981666e+002	123084
2.995847e+002	123040
2.996033e+002	122996
3.014504e+002	122991
3.024506e+002	122916
3.376858e+002	122419
3.412960e+002	122397
3.693900e+002	122368
3.745697e+002	122031
3.752161e+002	121748
3.946666e+002	121720
4.012703e+002	120941
4.019118e+002	120656
4.020028e+002	120376
4.024441e+002	120360
4.148036e+002	120251
4.154376e+002	120123
4.157945e+002	119819
4.173566e+002	119807



